AirportName,RadioId,RadioName,RadioFrequency,Designator,Id
DONALDSON CENTER,,Clearance delivery,121.4,KGYH,349
DONEGAL SPRINGS AIRPARK,,APP/DEP,126.45,N71,350
DONGSHAN,,TWR,130,ZBLA,351
DOSHAN TAPPEH,,TWR,126,OIID,352
DOUBLE SPRINGS WINSTON CO,,CTAF,122.9,3M2,353
Douglas Lake,,CTAF,123.2,AL3,354
DOYLESTOWN,,APP/DEP,123.8,KDYL,355
DRAKE FLD,,ATIS,133.1,KFYV,356
DRAKE FLD,,Ground,121.8,KFYV,357
DRUMMOND ISLAND,,CTAF,122.8,KDRM,358
Drysdale River,,CTAF,126.7,YDRD,359
Dubbo,,CTAF,134,YSDU,360
Dublin,,Clearance delivery,121.87,EIDW,361
DUCHESNE MUNI,,CTAF,122.8,U69,362
DUKE FLD,,APP,125.1,KEGI,363
DUPLIN CO,,CTAF,123,KDPL,364
DURANGO LA PLATA CO,,ASOS,120.62,KDRO,365
DUTCHESS CO,,UNICOM,122.95,KPOU,366
EAGLE CO RGNL,,ATIS,135.57,KEGE,367
EAGLE RIVER UNION,,CTAF,122.8,KEGV,368
EASTERN SIERRA RGNL,,CNTR,125.75,KBIH,369
EASTON VALLEY VIEW,,CTAF,122.9,11V,370
ECHO VALLEY,,CTAF,123.2,CBJ4,371
Edinburgh,,ATIS,131.35,EGPH,372
Edmonton City Centre (Blatchford Fld),,TWR,119.1,CYXD,373
EDMONTON VILLENEUVE,,TWR,120,CZVL,374
EGLIN AFB,,ATIS,134.62,KVPS,375
Eindhoven,,APP,123.17,EHEH,376
EL FASHIR,,TWR,127.3,HSFS,377
EL LOA,,TWR,118.7,SCCF,378
EL TOR,,TWR,121.3,HETR,379
ELBERT CO PATZ FLD,,AWOS,120.87,27A,380
Elcho Island,,CTAF,127.15,YELD,381
Eldorado Intl,,ATIS,113.9,SKBO,382
Eldorado Intl,,APP,119.5,SKBO,383
Eldorado Intl,,DEP,119.65,SKBO,384
ELEFSIS,,TWR,120.15,LGEL,385
ELEFSIS,,APP,119.1,LGEL,386
ELIZABETH CITY CGAS RGNL,,CTAF,120.5,KECG,387
ELIZABETH FLD,,APP/DEP,125.75,0B8,388
ELK CITY RGNL BUSINESS,,AWOS,118.22,KELK,389
ELK CITY RGNL BUSINESS,,CNTR,128.4,KELK,390
ELK HILLS BUTTONWILLOW,,CTAF,122.9,L62,391
ELKHART MUNI,,CTAF,119.5,KEKM,392
ELKHART MUNI,,APP/DEP,118.55,KEKM,393
ELKINS RANDOLPH CO JENNINGS RANDOLPH,,ASOS,119.27,KEKN,394
ELKINS RANDOLPH CO JENNINGS RANDOLPH,,APP/DEP,121.15,KEKN,395
Elko Rgnl,,CTAF,123,KEKO,396
Elliston,,CTAF,126.7,YELN,397
ELLSWORTH AFB,,Ground,121.8,KRCA,398
ELLSWORTH AFB,,APP/DEP,119.5,KRCA,399
ELMENDORF AFB,,APP/DEP,118.6,PEDF,400
Elmira Corning Rgnl,,CTAF,122.4,KELM,401
Elmira Corning Rgnl,,Ground,121.9,KELM,402
ELOY ALFARO INTL,,TWR,118.7,SEMT,403
ELTON HENSLEY MEM,,APP/DEP,124.37,KFTT,404
ELY MUNI,,CTAF,122.8,KELO,405
EMANUEL CO,,CTAF,122.97,KSBO,406
EMBRAER UNIDADE GAVIAO PEIXOTO,,Ground,121.8,SBGP,407
EMMETSBURG MUNI,,CTAF,122.8,KEGQ,408
EMMETT MUNI,,CTAF,122.9,S78,409
EMMONAK,,CTAF,122.9,PAEM,410
EMPORIA GREENSVILLE RGNL,,AWOS,124.17,KEMV,411
EMPORIA MUNI,,CNTR,127.72,KEMP,412
ENID WOODRING RGNL,,AWOS,120.62,KWDG,413
ENID WOODRING RGNL,,UNICOM,122.95,KWDG,414
ENID WOODRING RGNL,,TWR,118.9,KWDG,415
Enkoping Langtora,,TWR,123.52,ES08,416
Ennis Big Sky,,CTAF,122.8,KEKS,417
Enniskillen St Angelo,,RDO,123.2,EGAB,418
Enontekio,,ATIS,134.82,EFET,419
Enontekio,,AFIS,122.45,EFET,420
ENRIQUE ADOLFO JIMENEZ,,UNICOM,122.8,MPEJ,421
ENRIQUE ADOLFO JIMENEZ,,TWR,118.5,MPEJ,422
ENRIQUE ADOLFO JIMENEZ,,APP,119.7,MPEJ,423
ENRIQUE ADOLFO JIMENEZ,,APP,123.3,MPEJ,424
ENRIQUE MALEK INTL,,Ground,121.7,MPDA,425
ENRIQUE MALEK INTL,,TWR,122.6,MPDA,426
ENRIQUE MALEK INTL,,APP,119.7,MPDA,427
Ensenada,,TWR,119.75,MMES,428
ENTERPRISE MUNI,,CTAF,122.8,KEDN,429
Entzheim,,Ground,121.8,LFST,430
Entzheim,,APP,119.45,LFST,431
Entzheim,,APP,120.7,LFST,432
ENUGU,,TWR,123.3,DNEN,433
EPHRATA MUNI,,ASOS,135.77,KEPH,434
EPHRATA MUNI,,APP/DEP,126.4,KEPH,435
Epinal Mirecourt,,AFIS,120.2,LFSG,436
EPINOY,,TWR,118.52,LFQI,437
Eppley Afld,,UNICOM,122.95,KOMA,438
Eppley Afld,,Ground,121.9,KOMA,439
Eppley Afld,,APP/DEP,124.5,KOMA,440
Erbogachen,,TWR,122.1,UIKE,441
ERDING,,TWR,120.2,ETSE,442
EREBUNI,,TWR,119.4,UDYE,443
Erfurt,,Ground,121.75,EDDE,444
Erfurt,,TWR,121.15,EDDE,445
Erfurt,,APP,124.17,EDDE,446
ERHAC,,Ground,121.95,LTAT,447
ERIC MARCUS MUNI,,CTAF,122.9,P01,448
Erie Intl Tom Ridge Fld,,CTAF,118.1,KERI,449
Erie Intl Tom Ridge Fld,,Ground,121.9,KERI,450
Erie Intl Tom Ridge Fld,,APP/DEP,121,KERI,451
ERIE MUNICIPAL,,CTAF,123,KEIK,452
ERKILET,,Ground,121.95,LTAU,453
Erldunda,,CTAF,126.7,YERL,454
Ernabella,,CTAF,126.7,YERN,455
Ernesto Cortissoz,,Ground,121.9,SKBQ,456
Ernesto Cortissoz,,APP,119.1,SKBQ,457
Eromanga,,CTAF,126.7,YEMG,458
EROS,,TWR,118.7,FYWE,459
ERZURUM,,TWR,118.1,LTCE,460
ERZURUM,,APP,118.1,LTCE,461
ES SENIA,,TWR,118.1,DAOO,462
ES SENIA,,APP,128.2,DAOO,463
ESBJERG,,TWR,120.15,EKEB,464
Escott,,CTAF,126.7,YESC,465
ESENBOGA,,TWR,118.1,LTAC,466
ESENBOGA,,APP,119.6,LTAC,467
ESENBOGA,,APP,122.1,LTAC,468
ESFAHAN SHAHID BEHESHTI INTL,,Ground,121.9,OIFM,469
ESFAHAN SHAHID BEHESHTI INTL,,APP,122.05,OIFM,470
ESFAHAN SHAHID BEHESHTI INTL,,APP,124.6,OIFM,471
Eskilstuna,,AFIS,126.85,ESSU,472
ESKISEHIR,,ATIS,122.42,LTBI,473
ESKISEHIR,,TWR,122.1,LTBI,474
ESLER RGNL,,CTAF,122.8,KESF,475
Esperance,,CTAF/UNICOM,121.3,YESP,476
Esperance,,TWR,123.3,YESP,477
ESQUEL,,APP,118.8,SAVE,478
Essex Co,,CTAF,119.8,KCDW,479
Essex Co,,Clearance delivery,121.1,KCDW,480
Essex Co,,TWR,119.8,KCDW,481
Estevan,,CTAF,123,CYEN,482
ESTHERVILLE MUNI,,CTAF,122.8,KEST,483
Eston,,CTAF,123.2,CJR4,484
ETIMESGUT,,APP,119.1,LTAD,485
ETIMESGUT,,APP,122.1,LTAD,486
Eucla Airfield,,CTAF,127.6,YECT,487
EUFAULA MUNI,,CTAF,122.9,F08,488
EUGENIO MARIA DE HOSTOS,,CTAF,122.8,TJMZ,489
EUGENIO MARIA DE HOSTOS,,CNTR,118.75,TJMZ,490
Eulogio Sanchez,,TWR,118.7,SCTB,491
EUNICE,,APP/DEP,128.7,4R7,492
EUPORA,,CTAF,122.9,06M,493
EUREKA,,CTAF,122.9,CYEU,494
EVANSVILLE RGNL,,CTAF,118.7,KEVV,495
EVANSVILLE RGNL,,Ground,121.9,KEVV,496
EVANSVILLE RGNL,,APP/DEP,126.4,KEVV,497
EVELETH VIRGINIA MUNI,,CTAF,122.7,KEVM,498
EVELYN SHARP FLD,,ASOS,119.92,KODX,499
EVENES,,TWR,118,ENEV,500
EVERETT STEWART,,AWOS,135.32,KUCY,501
EVORA,,TWR,122.7,LPEV,502
Executive,,CTAF,118.7,KORL,503
Executive,,Ground,121.4,KORL,504
Executive,,APP/DEP,119.4,KORL,505
Executive,,APP/DEP,121.1,KORL,506
EXETER,,ATIS,119.32,EGTE,507
EXPLOITS VALLEY BOTWOOD,,CNTR,132.1,CCP2,508
Exuma Intl,,APP,127.6,MYEF,509
Eyguieres,,CTAF/UNICOM,119.57,LFNE,510
Eyguieres,,TWR,122.1,LFNE,511
Eyguieres,,APP,135.15,LFNE,512
