AirportName,CreateDate,RunwayNumber,RunwayLength,RunwayWidth,RunwaySurface,Designator,Id
Clio Crop Care,2008-04-30 14:24:00,13/31,2602,120,Turf or Grass,9W9,177
Clover Valley,2008-04-30 14:24:00,16/34,1601,100,Turf or Grass,3WI5,178
CLUCK RANCH,2008-04-30 14:24:00,01/19,3610,35,Asphalt,2E3,179
COCHRAN,2008-04-30 14:24:00,05/23,3202,50,Asphalt,48A,180
COIMBRA,2008-04-30 14:24:00,16/34,3021,98,Concrete,LPCO,181
COLATINA,2008-04-30 14:24:00,14/32,4274,98,Asphalt,SNCX,182
COLEMAN CATTLE COMPANY NR 1,2008-04-30 14:24:00,16/34,4736,50,Asphalt,75TA,183
COLES CO MEM,2008-04-30 14:24:00,18/36,1497,250,Turf or Grass,KMTO,184
Collier Pine Barren Airpark,2008-04-30 14:24:00,09/27,2602,100,Turf or Grass,FD89,185
COLLIQUE,2008-04-30 14:24:00,03/21,3284,148,Asphalt,SPOL,186
Colorado Springs Municipal,2008-04-30 14:24:00,12/30,8263,150,Asphalt,KCOS,187
COLUMBUS LOWNDES CO,2008-04-30 14:24:00,18/36,4511,100,Asphalt,KUBS,188
Columbus Municipal,2008-04-30 14:24:00,07/25,2562,100,Turf or Grass,KCUS,189
COMANCHE CO,2008-04-30 14:24:00,17/35,4508,60,Concrete,3K8,190
COMANDANTE ESPORA,2008-04-30 14:24:00,16L/34R,8615,197,Asphalt,SAZB,191
Comox,2008-04-30 14:24:00,12/30,9997,200,Concrete,CYQQ,192
CONNELL CITY,2008-04-30 14:24:00,07/25,3060,50,Asphalt,WA14,193
Conrad,2008-04-30 14:24:00,15/33,2800,100,Turf or Grass,S01,194
Coober Pedy,2008-04-30 14:24:00,04/22,4688,98,Asphalt,YCBP,195
Cook Airfield Inc,2008-04-30 14:24:00,17/35,2492,40,Asphalt,K50,196
Coolah,2008-04-30 14:24:00,04/22,3526,97,Gravel,YCAH,197
Coombs,2008-04-30 14:24:00,05/23,1001,50,Turf or Grass,ME23,198
Cooranbong,2008-04-30 14:24:00,06/24,3498,59,Asphalt,YCOB,199
COPOSA,2008-04-30 14:24:00,17/35,10522,98,Asphalt,SCKP,200
CORLU,2008-04-30 14:24:00,05/23,9896,148,Concrete,LTBU,201
Coronel Olmedo,2008-04-30 14:24:00,18/36,2462,35,Concrete,SACD,202
CORVALLIS MUNI,2008-04-30 14:24:00,17/35,5903,150,Asphalt,KCVO,203
Cosne sur Loire,2008-04-30 14:24:00,07/25,2215,197,Turf or Grass,LFGH,204
COTTBUS DREWITZ,2008-04-30 14:24:00,07L/25R,6542,164,Turf or Grass,EDCD,205
COULTER FLD,2008-04-30 14:24:00,14/32,4007,75,Asphalt,KCFD,206
Courbessac,2008-04-30 14:24:00,18/36,1576,151,Turf or Grass,LFME,207
COVENAS,2008-04-30 14:24:00,05/23,4428,98,Asphalt,SKCV,208
Covington-Vincent,2008-04-30 14:24:00,18/36,3402,200,Turf or Grass,LA87,209
Cowley,2008-04-30 14:24:00,11/29,4333,500,Turf or Grass,CYYM,210
COX FLD,2008-04-30 14:24:00,03/21,4628,150,Concrete,KPRX,211
Craven Field,2008-04-30 14:24:00,18/36,1701,150,Turf or Grass,49W,212
Crazy Horse Municipal,2008-04-30 14:24:00,17/35,2602,40,Asphalt,97F,213
Crevice Creek,2008-04-30 14:24:00,13/31,2251,60,Dirt,1AK1,214
CRISFIELD MUNI,2008-04-30 14:24:00,14/32,2488,75,Asphalt,W41,215
Crivitz Municipal,2008-04-30 14:24:00,18/36,2151,70,Asphalt,3D1,216
Cromer,2008-04-30 14:24:00,36/18,1617,75,Turf or Grass,EG25,217
CROSBY MUNI,2008-04-30 14:24:00,12/30,3794,60,Asphalt,D50,218
Crosswinds,2008-04-30 14:24:00,09/27,2602,200,Dirt,2CA3,219
Crowley Ranch Airstrip,2008-04-30 14:24:00,03/21,2502,32,Gravel,78OR,220
CRYSTAL,2008-04-30 14:24:00,14L/32R,3261,75,Asphalt,KMIC,221
Crystal,2008-04-30 14:24:00,01/19,3002,100,Turf or Grass,KMIC,222
Crystal River,2008-04-30 14:24:00,18/36,3040,100,Turf or Grass,KCGC,223
Cuatro Vientos,2008-04-30 14:24:00,10/28,4895,98,Asphalt,LEVS,224
Cub Haven,2008-04-30 14:24:00,18/36,2001,50,Turf or Grass,TN30,225
Cudworth Muni,2008-04-30 14:24:00,09/27,2802,100,Gravel,CJD2,226
Curacao Hato,2008-04-30 14:24:00,11/29,11193,197,Asphalt,TNCC,227
Cut Bank Muni,2008-04-30 14:24:00,05/23,5286,75,Asphalt,KCTB,228
CYPRESS RIVER,2008-04-30 14:24:00,05/23,3198,60,Asphalt,24F,229
D & G Farms,2008-04-30 14:24:00,36/18,4003,200,Turf or Grass,2OK8,230
D. A. Chandler,2008-04-30 14:24:00,09/27,2001,75,Turf or Grass,OI42,231
Dala Jarna,2008-04-30 14:24:00,21/03,2954,79,Asphalt,ESKD,232
Dale Landing Strip,2008-04-30 14:24:00,05/23,3402,80,Turf or Grass,MS45,233
Dallas Fort Worth Intl,2008-04-30 14:24:00,13R/31L,9306,151,Concrete,KDFW,234
DAMBLAIN,2008-04-30 14:24:00,07/25,7899,148,Asphalt,LFYD,235
Daniel Fld,2008-04-30 14:24:00,11/29,3731,100,Asphalt,KDNL,236
Dargaville,2008-04-30 14:24:00,04L/22R,3056,72,Turf or Grass,NZDA,237
Datah Dian (Pertamina),2008-04-30 14:24:00,15/33,1301,66,Turf or Grass,WX65,238
Davidson Field,2008-04-30 14:24:00,08/26,2602,60,Turf or Grass,2OR3,239
Davis,2008-04-30 14:24:00,07/25,1941,50,Turf or Grass,2D8,240
Davis Air Ranch,2008-04-30 14:24:00,18/36,1241,60,Turf or Grass,38M,241
Davis Field,2008-04-30 14:24:00,08/26,2241,40,Asphalt,62WA,242
Dawson Community,2008-04-30 14:24:00,12/30,5697,100,Asphalt,KGDV,243
DAYTON WRIGHT BROTHERS,2008-04-30 14:24:00,02/20,5004,100,Asphalt,KMGY,244
De De,2008-04-30 14:24:00,16/34,1801,40,Turf or Grass,1GA6,245
De Louis Field,2008-04-30 14:24:00,18/36,1701,200,Turf or Grass,IA38,246
DE WINTON SOUTH CALGARY,2008-04-30 14:24:00,10/28,3015,150,Asphalt,CEH4,247
DEBLIN,2008-04-30 14:24:00,12/30,8189,197,Asphalt,EPDE,248
DECATUR,2008-04-30 14:24:00,18/36,5307,150,Asphalt,KDEC,249
Decatur Jones,2008-04-30 14:24:00,01/19,1501,50,Turf or Grass,WA18,250
Deep Creek Ranch,2008-04-30 14:24:00,02/20,4203,60,Turf or Grass,XS61,251
DEHRADUN,2008-04-30 14:24:00,08/26,3672,88,Asphalt,VIDN,252
Dekalb Peachtree,2008-04-30 14:24:00,02L/20R,3753,150,Asphalt,KPDK,253
DEL NORTE MUNI AND COUNTY,2008-04-30 14:24:00,02/20,6040,60,Turf or Grass,8V1,254
Del-Tex,2008-04-30 14:24:00,17/35,4503,120,Dirt,TS42,255
